lv,count,mean,std,min,25%,50%,75%,max
GG,16.0,7.815509097187499,0.24759631209489194,7.309162542,7.661964522499999,7.8313435584999995,7.9056216095,8.231235584
None GG,115.0,3.8578736082869565,0.965414223234242,2.128293401,3.1159787295,3.756489607,4.381430848,6.256727635
